english	yoruba
Local radio station in Russia cancels interview with LGBT activists after threats to editor	Ilé-iṣẹ́ Agbóhùnsáfẹ́fẹ́ Ìbílẹ̀ Fagilé Ìfọ̀rọ̀wọ́rọ̀ pẹ̀lú àwọn ajìjàǹgbara LGBT lẹ́yìn ìhalẹ̀mọ́ sí olóòtú
Activists in Madrid protest LGBT rights violations in Russia	Àwọn ajìjàǹgbara ní Madrid fi ẹ̀hónú hàn lórí ìrúfin ẹ̀tọ́ LGBT ní Russia
Echo of Moscow in Yaroslavl, a local affiliate of Echo of Moscow, Russia’s oldest independent radio network, cancelled an interview with LGBT activists after receiving homophobic threats, the station’s editor Lyudmila Shabuyeva said in a Facebook post:	Ilé-iṣẹ́ Echo ti Moscow ní Yaroslavl tí ó jẹ́ ẹ̀ka ilé-iṣẹ́ Agbóhùnsáfẹ́fẹ́ Echo ti Moscow ìsopọ̀ tí ó ti dá dúró fún ìgbà pípẹ́ ní Russia fagi lé ìfọ̀rọ̀wọ́rọ̀ pẹ̀lú àwọn ajìjàǹgbara LGBT lẹ́yìn tí wọ́n gba ìhalẹ̀ láti ọ̀dọ̀ àwọn tí ó kórìíra-ìbálòpọ̀-láàárín-akọ-àti-akọ, olóòtú ilé-iṣẹ́ náà Lyudmila Shabuyeva sọ̀rọ̀ nínú àkọsílẹ̀ Facebook kan:
Translation Original Quote	Ìtúmọ̀ Ìtúnwí-ọ̀rọ̀ Ọlọ́rọ̀ gan-an
Yesterday we received threats against our guests and ourselves if we proceed with our talk show about LGBT.	Ní àná, a gba ìhàlẹ̀ kan tí ó ń lérí mọ́ àwa àti àwọn àlejòo wa tí a bá tẹ̀síwajú pẹ̀lú ètò ìfọ̀rọ̀wọ́rọ̀ọ wa nípa LGBT.
I’m cancelling the show.	Mò ń fagi lé ètò náà.
According to independent newspaper Novaya Gazeta, the show featuring Yaroslavl’s LGBT activists was scheduled to air in the early morning of Wednesday, January 23.	Gẹ́gẹ́ bí ìwé ìròyìn tí ò sí ní abẹ́ ìṣàkóso ìjọba  Novaya Gazeta ti ṣe sọ, ó yẹ kí ètò náà tí yóò ṣe àfihàn àwọn ajìjàǹgbara LGBT ní Yaroslavl wáyé ní òwúrọ̀ Ọjọ́rú 23, ní oṣù Ṣẹẹrẹ.
The same activists had recently picketed the town’s main square to protest against the persecution of gay people in Russia, notably in the republic of Chechnya.	Àwọn ajìjàǹgbara yìí kan náà ṣẹ̀ṣẹ̀ fi ẹ̀hónú hàn ní gbàgede ìlú láti tako ìfìyàjẹ àwọn aṣe-ìbálòpọ̀-akọ-àti-akọ ní Russia, pàápàá jùlọ ní orílẹ̀ Chechnya.
The station invited them to be interviewed about the protest and their experience of being openly gay in provincial Russia.	Ilé-iṣẹ́ agbóhùnsáfẹ́fẹ́ náà pè wọ́n láti fi ọ̀rọ̀ wá wọn lẹ́nu wò nípa ìfẹ̀hónúhàn àti ìrírí wọn fún jíjáde sí gbangba gẹ́gẹ́ bíi aṣe-ìbálòpọ̀-akọ-àti-akọ ní ẹ̀ka-ìlúu Russia.
Shabuyeva’s initial announcement of the show attracted a torrent of homophobic abuse in the comments, including some from local officials, but that didn’t put her off, she told Novaya Gazeta.	Ìkéde Shebuyeva àkọ́kọ́ nípa ètò náà fa ẹgbẹlẹmùkù èébú ìkórìíra-ìbálòpọ̀-láàárín-akọ́-àti-akọ nínú àwọn èsì, tí èsì sì wá láti ọ̀dọ̀ àwọn òṣìṣẹ́ ọba kan bákan náà, ṣùgbọ́n ìyẹn ò mú ọkàn-an rẹ̀ kúrò, ó sọ fún Novaya Gazeta.
However, late in the night before the show, Shabuyeva says, a stranger called her on the phone from an unidentified number and told her that if she were to proceed with the scheduled programming, her guests would be met outside the studio with baseball bats.	Ṣùgbọ́n ní alẹ́ ọjọ́ tí ètò náà ku ọ̀la, Shabuyeva sọ̀rọ̀ pé òun gba ìpè àjèjì láti orí òpó ẹ̀rọ-ìbánisọ̀rọ̀ kan tí kò ṣe é dámọ̀, ẹni náà sì sọ fún òun pé bí òun bá tẹ̀síwajú pẹ̀lú ètò náà bí ó ṣe ti pinnu, wọ́n máa fi igi ìgbábọ́ọ̀lù-afọwọ́jù pàdé àwọn àlejò rẹ ní ìta ilé-iṣẹ́ náà.
She could also face problems, the anonymous caller threatened.	Òun náà sì lè kojúu wàhálà, onípè àjèjì náà léríléka.
Fearing for her guests’ safety, Shabuyeva cancelled the show and replaced it with another programming.	Nítorí ìbẹ̀rù fún ààbò àwọn àlejòo rẹ̀, Shabuyeva fagilé ìfọ̀rọ̀wánilẹ́nuwò náà tí ó sì fi ètò mìíràn rọ́pòo rẹ̀.
The picket on Yaroslavl’s main square was part of a national campaign #saveLGBTinRussia aimed at raising awareness about the brutal persecution of gay people in the republic of Chechnya.	Ìfẹ̀hónúhàn tí ó wáyé ní gbàgede ìlú wà lára ìkéde gbogboògbò #saveLGBTinRussia tí wọ́n fi ń polongo ìyà tí ó rorò tí wọ́n fi ń jẹ àwọn ènìyàn aṣe-ìbálòpọ̀-akọ-àti-akọ ní orílẹ̀ Chechnya.
Similar pickets and rallies were held in other Russian cities.	Àwọn ìwọ́de àti ìfẹ̀hónúhàn irú èyí wáyé ní àwọn ìlú mìíràn ní Russia.
The Motherland Calls on her children (the citizens) to fight xenophobia and repressions in modern Russia.	Ìlú ń ké pe àwọn ọmọ rẹ̀ (àwọn ọmọ ìlú) láti dojú ìjà kọ ìwà elẹ́yàmẹyà àti ìtẹ̀mọ́lẹ̀ ní Russia òde-òní.
Let her call awaken you!	Jẹ́ kí ìpèe rẹ̀ ta ọ́ jí!
[the sign says: RUSSIA’S DEPARTMENT OF JUSTICE COULD FIND NO GAYS IN CHECHYA.	[àmì náà ń sọ pé: Ẹ̀KA ÌṢÈDÁJỌ́ TI ORÍLẸ̀-ÈDÈE RUSSIA Ò RÍ ÀWỌN AṢE-ÌBÁLÒPỌ̀-AKỌ-ÀTI-AKỌ NÍ CHECHYA.
THEY ARE THERE: IN PRISONS AND IN GRAVES.	WỌ́N WÀ NÍBẸ̀: NÍNÚ ÀWỌN ỌGBÀ Ẹ̀WỌ̀N ÀTI IBOJÌ-ÒKÚ.
#SAVELGBTINRUSSIA HOMOPHOBIA=FASCISM	#SAVELGBTINRUSSIA Ẹ̀TANÚ ÌBÁLÒPỌ̀-LÁÀÁRÍN-AKỌ-ÀTI-AKỌ = ÌJỌBA AFIPÁMÚNI
